과목명,교수명,수업요일,수업시간,강의실,소속,과목코드,학점,권장학년,교수특징,경쟁점수,꿀점수,배움점수
화공생명공학요소실험1,김정욱,금,16:30~22:15,R405,화공생명공학,CBE3015-02,3.0,3,없음,알수없음,0.0,0.0
화공생명공학요소실험1,하경수,금,16:30~22:15,R405,화공생명공학,CBE3015-03,3.0,3,없음,알수없음,0.0,0.0
화공생명공학요소실험1,최정우,금,16:30~22:15,R405,화공생명공학,CBE3015-04,3.0,3,없음,알수없음,0.0,0.0
화공생명공학요소실험1,김충익,금,16:30~22:15,R405,화공생명공학,CBE3015-05,3.0,3,없음,알수없음,0.0,0.0
연구프로젝트4,문준혁,월,18:00~20:45,없음,화공생명공학,CBE3304-01,3.0,34,꼰대,알수없음,0.0,0.0
연구프로젝트4,김현철,월,18:00~20:45,없음,화공생명공학,CBE3304-02,3.0,34,없음,알수없음,0.0,0.0
연구프로젝트4,김충익,월,18:00~20:45,없음,화공생명공학,CBE3304-03,3.0,34,없음,알수없음,0.0,0.0
연구프로젝트4,이종석,월,18:00~20:45,없음,화공생명공학,CBE3304-04,3.0,34,없음,알수없음,0.0,0.0
연구프로젝트4,강문성,월,18:00~20:45,없음,화공생명공학,CBE3304-05,3.0,34,없음,알수없음,0.0,0.0
화공생명공학심화종합설계2(캡스톤디자인),강태욱,월,13:30~16:15,없음,화공생명공학,CBE4001-01,3.0,4,없음,알수없음,0.0,0.0
분리정제공정,이광순,화목,09:00~10:15,없음,,,,,,,,
전기화학,박흥목,월수,12:00~13:15,없음,화공생명공학,CBE4011-01,3.0,34,없음,3.49,0.0,0.0
생물화학공학,최정우,월수,16:30~17:45,없음,,,,,,,,
생물화학공학,김현철,수금,15:00~16:15,없음,,,,,,,,
화공생명공학심화종합설계1,구기갑,화,16:30~22:15,R403,화공생명공학,CBE4017-01,3.0,4,없음,알수없음,0.0,0.0
화공생명공학심화종합설계1,이종석,화,16:30~22:15,R403,화공생명공학,CBE4017-02,3.0,4,없음,알수없음,0.0,0.0
화공생명공학심화종합설계1,강태욱,화,16:30~22:15,R403,화공생명공학,CBE4017-03,3.0,4,없음,알수없음,0.0,0.0
화공생명공학심화종합설계1,문준혁,화,16:30~22:15,R403,화공생명공학,CBE4017-04,3.0,4,꼰대,알수없음,0.0,0.0
인공지능:딥러닝,최진훈,화목,15:00~16:15,없음,,,,,,,,
화공산업과기술경영-기업가정신,백서인,목,16:30~18:15,없음,,,,,,,,
고급화공수학,최진훈,수,12:00~14:45,없음,,,,,,,,
발효공학,이진원,월,13:30~16:15,없음,화공생명공학,CBEG009-01,3.0,34,없음,알수없음,0.0,0.0
종교의이해,김명희,월수,10:30~11:45,없음,종교학,REL2001-01,3.0,14,없음,알수없음,0.0,0.0
세계종교입문,오지섭,수금,15:00~16:15,없음,,,,,,,,
힌두교의이해,나혜숙,화목,12:00~13:15,없음,,,,,,,,
고대근동의종교,주원준,월,13:30~16:15,없음,,,,,,,,
그리스도교의이해,박현준,수금,13:30~14:45,없음,종교학,REL3007-01,3.0,14,없음,알수없음,0.0,0.0
유교의중심사상,정소이,화목,13:30~14:45,없음,종교학,REL3008-01,3.0,14,없음,알수없음,0.0,0.0
도교의중심사상,최수빈,월수,12:00~13:15,없음,,,,,,,,
그리스도교강독,박병관,화목,13:30~14:45,없음,,,,,,,,
한국무교의이해,김동규,금,10:30~13:15,없음,종교학,REL3033-01,3.0,24,없음,알수없음,0.0,0.0
종교와젠더,최우혁,화목,15:00~16:15,없음,종교학,REL3038-01,3.0,14,악마,알수없음,0.0,0.0
수양과명상,최현민,월수,12:00~13:15,없음,종교학,REL3043-01,3.0,14,없음,알수없음,0.0,0.0
한국유교사,정소이,화목,10:30~11:45,없음,,,,,,,,
종교교과교육론,김민정,화목,12:00~13:15,없음,종교학,RELQ981-01,3.0,34,없음,알수없음,0.0,0.0
사회학개론,김경만,화목,12:00~13:15,없음,,,,,,,,
사회학개론,김영수,수금,15:00~16:15,없음,사회학,SOC2001-01,3.0,14,꼰대도도,1.056,0.0,0.0
인류학개론,문경연,화목,09:00~10:15,없음,사회학,SOC2002-01,3.0,14,없음,알수없음,0.0,0.0
사회조사방법론,오세일,월수,10:30~11:45,없음,사회학,SOC2003-01,3.0,24,없음,알수없음,0.0,0.0
사회학방법론,김우선,화목,13:30~14:45,없음,사회학,SOC2005-01,3.0,14,없음,알수없음,0.0,0.0
사회학사,이재혁,화목,13:30~14:45,없음,사회학,SOC2006-01,3.0,24,없음,알수없음,0.0,0.0
사회발전론,김영수,수금,13:30~14:45,없음,사회학,SOC3010-01,3.0,14,꼰대도도,알수없음,0.0,1.0
예술사회학,민병교,화목,10:30~11:45,없음,사회학,SOC3017-01,3.0,14,천사,알수없음,0.0,0.0
불평등의사회사,이철승,월수,16:30~17:45,없음,사회학,SOC3028-01,3.0,14,없음,알수없음,0.0,0.0
"지식,문화,권력",김경만,화목,15:00~16:15,없음,,,,,,,,
국제이주와초국가주의,김우선,화목,09:00~10:15,없음,사회학,SOC3034-01,3.0,14,없음,알수없음,0.0,0.0
비교문화연구,곽영빈,금,10:30~13:15,없음,사회학,SOC3035-01,3.0,14,없음,알수없음,0.0,0.0
한국사회사,최선규,월수,12:00~13:15,없음,사회학,SOC3047-01,3.0,24,없음,알수없음,0.0,0.0
정보사회학,정호대,화목,10:30~11:45,없음,,,,,,,,
사회통계학연습,오세일,수,18:30~21:30,없음,사회학,SOCG007-01,3.0,34,없음,알수없음,0.0,0.0
기초공학설계,장형수,월수,10:30~11:45,없음,,,,,,,,
기초공학설계,김주호,수금,09:00~10:15,없음,,,,,,,,
기초공학설계,서정연,월수,16:30~17:45,없음,컴퓨터공학,CSE2003-03,3.0,1,없음,4.156,1.0,0.0
컴퓨터공학및정보통신개론,장나은,수금,13:30~14:45,없음,컴퓨터공학,CSE2009-01,3.0,1,악마,알수없음,0.0,0.0
컴퓨터공학설계및실험1,김영재,월,15:00~20:50,없음,컴퓨터공학,CSE3013-01,3.0,2,없음,1.891,0.0,0.0
컴퓨터공학설계및실험1,김영재,월,15:00~20:50,없음,인공지능,CSE3013-01,3.0,2,없음,1.891,0.0,0.0
컴퓨터공학설계및실험1,장형수,화,15:00~20:50,없음,,,,,,,,
컴퓨터공학설계및실험1,임인성,수,15:00~20:50,없음,컴퓨터공학,CSE3013-03,3.0,2,없음,알수없음,0.0,1.0
컴퓨터공학설계및실험1,임인성,수,15:00~20:50,없음,인공지능,CSE3013-03,3.0,2,없음,알수없음,0.0,1.0
컴퓨터공학설계및실험1,김세준,목,15:00~20:50,없음,컴퓨터공학,CSE3013-04,3.0,2,없음,알수없음,0.0,0.0
컴퓨터공학설계및실험1,김세준,목,15:00~20:50,없음,인공지능,CSE3013-04,3.0,2,없음,알수없음,0.0,0.0
컴퓨터공학설계및실험1,김주호,금,15:00~20:50,없음,컴퓨터공학,CSE3013-05,3.0,2,없음,알수없음,0.0,0.0
컴퓨터공학설계및실험1,김주호,금,15:00~20:50,없음,인공지능,CSE3013-05,3.0,2,없음,알수없음,0.0,0.0
컴퓨터공학실험2,김승욱,화,15:00~20:50,D104B,컴퓨터공학,CSE3016-01,3.0,2,없음,알수없음,0.0,0.0
어셈블리프로그래밍,임종석,화목,09:00~10:15,없음,,,,,,,,
어셈블리프로그래밍,김영재,수금,09:00~10:15,없음,,,,,,,,
자료구조,양지훈,월수,12:00~13:15,없음,,,,,,,,
자료구조,정성원,화목,12:00~13:15,없음,,,,,,,,
자료구조,소정민,화목,13:30~14:45,없음,컴퓨터공학,CSE3080-03,3.0,2,도도,알수없음,1.0,0.0
자료구조,소정민,화목,13:30~14:45,없음,인공지능,CSE3080-03,3.0,2,도도,알수없음,1.0,0.0
연구프로젝트1,이혁준,화,18:00~20:45,없음,컴퓨터공학,CSE3301-02,3.0,34,없음,알수없음,0.0,0.0
연구프로젝트1,소정민,화,18:00~20:45,없음,컴퓨터공학,CSE3301-03,3.0,34,도도,알수없음,0.0,0.0
컴퓨터아키텍쳐,김주호,수금,13:30~14:45,없음,컴퓨터공학,CSE4010-01,3.0,3,없음,알수없음,0.0,0.0
컴퓨터아키텍쳐,이혁준,월수,16:30~17:45,없음,컴퓨터공학,CSE4010-02,3.0,3,없음,알수없음,0.0,0.0
프로그래밍언어,낭종호,화목,10:30~11:45,없음,,,,,,,,
프로그래밍언어,낭종호,화목,13:30~14:45,없음,,,,,,,,
시스템프로그래밍,김영재,화목,09:00~10:15,없음,컴퓨터공학,CSE4100-01,3.0,3,없음,알수없음,0.0,0.0
시스템프로그래밍,박운상,화목,16:30~17:45,없음,컴퓨터공학,CSE4100-02,3.0,3,없음,알수없음,0.0,0.0
데이터베이스시스템,박석,월수,10:30~11:45,없음,,,,,,,,
데이터베이스시스템,정성원,화목,16:30~17:45,없음,,,,,,,,
소프트웨어공학,박수용,화목,10:30~11:45,없음,,,,,,,,
임베디드시스템소프트웨어,박성용,화목,13:30~14:45,없음,,,,,,,,
기초머신러닝,박운상,월수,10:30~11:45,없음,컴퓨터공학,CSE4130-01,3.0,34,없음,알수없음,0.0,0.0
기초컴퓨터그래픽스,임인성,화목,12:00~13:15,없음,,,,,,,,
기초컴퓨터네트워크,김승욱,수금,15:00~16:15,없음,컴퓨터공학,CSE4175-01,3.0,4,없음,1.868,0.0,0.0
기초컴퓨터네트워크,소정민,화목,15:00~16:15,없음,컴퓨터공학,CSE4175-02,3.0,4,도도,알수없음,0.0,0.0
캡스톤디자인1(캡스톤디자인),구명완,월,13:30~16:15,없음,컴퓨터공학,CSE4186-01,3.0,34,없음,알수없음,0.0,0.0
캡스톤디자인2(캡스톤디자인),구명완,금,10:30~13:15,없음,컴퓨터공학,CSE4187-01,3.0,4,없음,알수없음,0.0,0.0
암호학기초,김세준,월수,12:00~13:15,없음,,,,,,,,
데이터마이닝,양지훈,화목,10:30~11:45,K501,컴퓨터공학,CSEG312-01,3.0,4,없음,알수없음,0.0,0.0
컴퓨터교과교육론,김선호,수,18:00~20:45,없음,,,,,,,,
C프로그래밍기초,정석환,월수,10:30~11:45,없음,기계공학,MEE1005-01,3.0,12,없음,알수없음,0.0,0.0
공학수학1,김상엽,화목,09:00~10:15,없음,기계공학,MEE2006-01,3.0,2,없음,알수없음,0.0,0.0
공학수학1,김상엽,화목,09:00~10:15,없음,인공지능,MEE2006-01,3.0,2,없음,알수없음,0.0,0.0
공학수학1,정봉근,화목,12:00~13:15,없음,기계공학,MEE2006-02,3.0,2,도도,0.804,0.0,0.0
공학수학1,정봉근,화목,12:00~13:15,없음,인공지능,MEE2006-02,3.0,2,도도,0.804,0.0,0.0
고체역학,이형일,화목,13:30~14:45,없음,기계공학,MEE2011-01,3.0,2,없음,1.173,1.0,0.0
고체역학,정현용,화목,15:00~16:15,없음,기계공학,MEE2011-02,3.0,2,없음,1.588,0.0,1.0
열역학1,정시영,화목,10:30~11:45,없음,,,,,,,,
열역학1,김대중,화목,10:30~11:45,없음,,,,,,,,
모형설계제작,신충수,월,16:30~22:15,RA110A,,,,,,,,
모형설계제작,김상엽,수,16:30~22:15,RA110A,,,,,,,,
모형설계제작,정봉근,목,16:30~22:15,RA110A,,,,,,,,
2DCAD,이철수,수,15:00~19:15,없음,,,,,,,,
재료거동학,이형일,화목,12:00~13:15,없음,기계공학,MEE3001-01,3.0,3,없음,0.832,0.0,0.0
진동학,이승엽,월수,10:30~11:45,없음,,,,,,,,
생산공정,김낙수,수금,13:30~14:45,없음,기계공학,MEE3004-01,3.0,3,없음,0.952,0.0,0.0
생산공정,최범규,화목,09:00~10:15,없음,기계공학,MEE3004-02,3.0,3,없음,2.331,0.0,0.0
기계공학해석,박정열,화목,16:30~17:45,없음,,,,,,,,
자동제어,전도영,화목,13:30~14:45,없음,기계공학,MEE3013-01,3.0,3,없음,1.581,0.0,0.0
유체역학2,허남건,월수,10:30~11:45,없음,,,,,,,,
열전달,손기헌,월수,09:00~10:15,없음,기계공학,MEE3032-01,3.0,3,도도,알수없음,0.0,0.0
연구프로젝트2,박정열,수,18:00~20:45,없음,기계공학,MEE3302-03,3.0,34,없음,알수없음,0.0,1.0
연구프로젝트2,박정열,수,18:00~20:45,없음,기계공학,MEE3302-01,3.0,34,없음,알수없음,0.0,1.0
연구프로젝트2,강성원,수,18:00~20:45,없음,기계공학,MEE3302-02,3.0,34,없음,알수없음,0.0,0.0
연구프로젝트2,허남건,수,18:00~20:45,없음,기계공학,MEE3302-03,3.0,34,없음,알수없음,0.0,0.0
냉동및공기조화,정시영,화목,15:00~16:15,없음,기계공학,MEE4002-01,3.0,34,없음,2.885,0.0,0.0
3D-CAD,이철수,월,13:30~16:15,없음,,,,,,,,
MEMS설계제작,최범규,화목,15:00~16:15,없음,기계공학,MEE4014-01,3.0,34,없음,2.021,0.0,0.0
바이오역학,신충수,월수,12:00~13:15,없음,,,,,,,,
창의적종합설계(캡스톤디자인),신충수,월,13:30~16:15,없음,기계공학,MEE4021-01,3.0,4,도도,알수없음,0.0,0.0
창의적종합설계(캡스톤디자인),김상엽,화,16:30~19:15,없음,기계공학,MEE4021-02,3.0,4,없음,알수없음,0.0,0.0
신재생에너지공학개론,강성원,수금,15:00~16:15,없음,,,,,,,,
로봇설계및제어,전도영,화목,10:30~11:45,없음,기계공학,MEE4023-01,3.0,34,없음,알수없음,0.0,0.0
미소열유체역학,김원정,월수,12:00~13:15,없음,,,,,,,,
연속체역학,정현용,화목,16:30~17:45,없음,,,,,,,,
미소열유체공학,김원정,월수,10:30~11:45,K304,기계공학,MEEG017-01,3.0,34,없음,알수없음,0.0,0.0
시스템모델링및해석,박정열,화목,13:30~14:45,없음,,,,,,,,
공정설계의CAE,김낙수,수금,15:00~16:15,없음,,,,,,,,
센서공학,정봉근,화목,15:00~16:15,없음,기계공학,MEEG104-01,3.0,34,도도,알수없음,0.0,0.0
문화와글쓰기,정경아,월수,16:30~17:45,없음,미국문화,AMC2020-01,3.0,14,없음,알수없음,0.0,0.0
문화와글쓰기,정경아,수금,15:00~16:15,없음,미국문화,AMC2020-02,3.0,14,없음,알수없음,0.0,0.0
미국학입문,노재호,월수,10:30~11:45,없음,미국문화,AMC2031-01,3.0,14,천사,알수없음,1.0,0.0
미국학입문,박상기,화목,10:30~11:45,없음,미국문화,AMC2031-02,3.0,14,없음,0.946,0.0,0.0
미국문화사,이민용,수금,09:00~10:15,없음,미국문화,AMC2033-01,3.0,14,없음,알수없음,0.0,0.0
번역연습,김혜진,화목,16:30~17:45,없음,미국문화,AMC3014-01,3.0,24,없음,1.504,0.0,0.0
미국영화주제연구,부경숙,화목,15:00~16:15,없음,미국문화,AMC3055-01,3.0,24,없음,알수없음,0.0,0.0
팬터지문학과영화,"Hantke, Steffen Horst",화목,12:00~13:15,없음,,,,,,,,
미국고딕문화,"Hantke, Steffen Horst",화목,09:00~10:15,없음,,,,,,,,
미국의지역문화,이민용,수금,13:30~14:45,없음,미국문화,AMC3075-01,3.0,24,없음,알수없음,0.0,0.0
인간과과학기술,박상기,화목,13:30~14:45,없음,미국문화,AMC4125-01,3.0,24,없음,알수없음,0.0,1.0
1960년대의저항문화,노재호,월수,12:00~13:15,없음,미국문화,AMC4130-01,3.0,24,천사,알수없음,1.0,0.0
전공기초중국어1,이소영,수금,15:00~16:15,없음,중국문화,CHI2001-01,3.0,12,없음,알수없음,0.0,0.0
중국문화의이해,이정재,화목,12:00~13:15,없음,중국문화,CHI2004-01,3.0,12,없음,알수없음,0.0,0.0
중국어회화1(중국어강의),"He, Ya Wen",화목,09:00~10:15,없음,,,,,,,,
중국어작문1,이슬기,월수,10:30~11:45,없음,중국문화,CHI3002-01,3.0,24,없음,알수없음,0.0,0.0
중국어3,문영희,화목,13:30~14:45,없음,중국문화,CHI3003-01,3.0,24,도도,1.082,0.0,1.0
고급중국어,류동춘,화목,10:30~11:45,없음,중국문화,CHI3005-01,3.0,24,없음,알수없음,0.0,0.0
중국고전명문산책,이정재,화목,16:30~17:45,없음,중국문화,CHI3014-01,3.0,24,없음,알수없음,0.0,0.0
현대중국문학의이해,이욱연,월수,16:30~17:45,없음,중국문화,CHI3015-01,3.0,24,없음,알수없음,0.0,0.0
중국어문법의이해,강병규,월수,10:30~11:45,없음,중국문화,CHI3017-01,3.0,24,없음,1.233,0.0,0.0
영화와현대중국,이욱연,월수,12:00~13:15,없음,중국문화,CHI3025-01,3.0,24,없음,알수없음,0.0,1.0
중국의대중문화,홍지순,화목,15:00~16:15,없음,중국문화,CHI3026-01,3.0,24,없음,알수없음,0.0,0.0
사서와현대인의수양,강민호,수금,15:00~16:15,없음,중국문화,CHI3028-01,3.0,14,꿀귀,알수없음,0.0,0.0
무역중국어,박지영,수금,09:00~10:15,없음,중국문화,CHI4008-01,3.0,34,도도,알수없음,1.0,0.0
일반심리학,김근영,화목,13:30~14:45,없음,,,,,,,,
심리통계,석혜원,화목,09:00~10:15,없음,심리학,PSY2002-01,3.0,14,없음,1.719,0.0,1.0
건강심리학,김현식,화목,10:30~11:45,없음,심리학,PSY3004-01,3.0,24,없음,알수없음,0.0,0.0
적응심리학,연규진,월수,16:30~17:45,없음,,,,,,,,
성격심리학,이지향,월수,12:00~13:15,없음,심리학,PSY3008-01,3.0,24,없음,알수없음,0.0,0.0
사회심리학,김진형,수금,13:30~14:45,없음,심리학,PSY3009-01,3.0,24,없음,알수없음,0.0,0.0
인사심리학,장재윤,월수,10:30~11:45,없음,,,,,,,,
생리및생물심리학,이연경,금,10:30~13:15,없음,,,,,,,,
정신분석학,안명희,화목,15:00~16:15,없음,심리학,PSY3021-01,3.0,24,없음,알수없음,0.0,0.0
다문화심리학,나진경,화목,10:30~11:45,없음,심리학,PSY3022-01,3.0,24,없음,0.717,0.0,0.0
이상심리학,김향숙,화목,13:30~14:45,없음,,,,,,,,
현대심리치료,안명희,수금,15:00~16:15,없음,심리학,PSY4003-01,3.0,24,없음,알수없음,0.0,0.0
진로상담,연규진,월수,10:30~11:45,없음,,,,,,,,
집단행동의심리학,남상희,화목,15:00~16:15,없음,심리학,PSY4009-01,3.0,24,없음,1.112,0.0,0.0
유아및아동심리학,김근영,수금,15:00~16:15,없음,,,,,,,,
창의성의심리학,장재윤,월수,16:30~17:45,없음,,,,,,,,
판단과의사결정,나진경,화목,16:30~17:45,없음,심리학,PSY4041-01,3.0,24,없음,알수없음,0.0,0.0
직업심리학,박춘신,월,13:30~16:15,DB101,,,,,,,,
한국문화와역사,정선용,화목,16:30~17:45,없음,전인교육원,CHS2001-01,3.0,12,없음,0.484,0.0,1.0
현대한국의형성,김혜정,화목,10:30~11:45,없음,전인교육원,CHS2002-01,3.0,12,꿀귀,2.398,0.0,1.0
현대한국의형성,서진교,월수,16:30~17:45,없음,전인교육원,CHS2002-02,3.0,12,없음,3.471,0.0,1.0
현대한국의형성,장준호,월,13:30~16:15,없음,전인교육원,CHS2002-04,3.0,12,없음,1.775,0.0,0.0
현대한국의형성,허준,금,10:30~13:15,없음,전인교육원,CHS2002-04,3.0,12,없음,알수없음,0.0,0.0
현대한국의형성,박미아,화목,15:00~16:15,없음,전인교육원,CHS2002-05,3.0,12,없음,알수없음,0.0,0.0
현대동아시아의형성,방향숙,화목,15:00~16:15,없음,전인교육원,CHS2003-02,3.0,12,없음,2.052,1.0,1.0
현대동아시아의형성,윤병남,금,10:30~13:15,없음,전인교육원,CHS2003-03,3.0,12,도도,1.203,0.0,0.0
현대서양의형성,백인호,화목,13:30~14:45,없음,전인교육원,CHS2004-01,3.0,12,없음,알수없음,0.0,0.0
현대서양의형성,이종훈,수금,15:00~16:15,없음,전인교육원,CHS2004-02,3.0,12,악마,1.074,0.0,1.0
역사란무엇인가,최성철,금,10:30~13:15,없음,전인교육원,CHS2006-01,3.0,14,꿀귀,2.778,0.0,0.0
인물로본한국사,최희정,월수,10:30~11:45,없음,전인교육원,CHU4002-01,3.0,14,없음,알수없음,0.0,0.0
성의역사,박현숙,화목,10:30~11:45,없음,전인교육원,CHU4010-01,3.0,14,없음,알수없음,0.0,0.0
영화로본역사,김지혜,수금,15:00~16:15,없음,,,,,,,,
이주의역사,문종현,월,13:30~16:15,없음,,,,,,,,
인물로본일본사,허지은,화목,09:00~10:15,없음,전인교육원,CHU4019-01,3.0,14,없음,알수없음,0.0,0.0
영어글로벌의사소통1,김영옥,월수,10:30~11:45,없음,,,,,,,,
영어글로벌의사소통1,김영옥,월수,12:00~13:15,없음,,,,,,,,
영어글로벌의사소통1,김영나,월수,10:30~11:45,없음,,,,,,,,
영어글로벌의사소통1,김영나,월수,12:00~13:15,없음,전인교육원,COR1003-24,3.0,1,없음,1.361,0.0,1.0
영어글로벌의사소통1,이주영,월수,10:30~11:45,없음,전인교육원,COR1003-05,3.0,1,없음,알수없음,0.0,0.0
영어글로벌의사소통1,정지수,월수,12:00~13:15,없음,전인교육원,COR1003-06,3.0,1,없음,1.754,0.0,0.0
영어글로벌의사소통1,정지수,월수,16:30~17:45,없음,전인교육원,COR1003-07,3.0,1,없음,1.754,0.0,0.0
영어글로벌의사소통1,홍진영,화목,09:00~10:15,없음,전인교육원,COR1003-06,3.0,1,꼰대천사,4.302,0.0,0.0
영어글로벌의사소통1,홍진영,화목,10:30~11:45,없음,전인교육원,COR1003-07,3.0,1,꼰대천사,4.302,0.0,0.0
영어글로벌의사소통1,채현순,화목,09:00~10:15,없음,,,,,,,,
영어글로벌의사소통1,채현순,화목,10:30~11:45,없음,전인교육원,COR1003-09,3.0,1,천사,1.436,0.0,0.0
영어글로벌의사소통1,채현순,화목,10:30~11:45,없음,전인교육원,COR1003-11,3.0,1,천사,1.436,0.0,0.0
영어글로벌의사소통1,"Bailey, Andrew",화목,10:30~11:45,없음,,,,,,,,
영어글로벌의사소통1,"Bailey, Andrew",화목,12:00~13:15,없음,,,,,,,,
영어글로벌의사소통1,"Bailey, Andrew",화목,13:30~14:45,없음,,,,,,,,
영어글로벌의사소통1,"Barnard,Stephen John",화목,10:30~11:45,없음,,,,,,,,
영어글로벌의사소통1,"Barnard,Stephen John",화목,12:00~13:15,없음,,,,,,,,
영어글로벌의사소통1,"Barnard,Stephen John",화목,15:00~16:15,없음,,,,,,,,
영어글로벌의사소통1,조혜연,화목,12:00~13:15,없음,전인교육원,COR1003-18,3.0,1,없음,1.337,0.0,0.0
영어글로벌의사소통1,조혜연,화목,13:30~14:45,없음,전인교육원,COR1003-19,3.0,1,없음,1.337,0.0,0.0
영어글로벌의사소통1,"Kim, Jae Pil",화목,12:00~13:15,없음,,,,,,,,
영어글로벌의사소통1,"Kim, Jae Pil",화목,15:00~16:15,없음,,,,,,,,
영어글로벌의사소통1,"Kim, Jae Pil",수금,13:30~14:45,없음,,,,,,,,
영어글로벌의사소통1,"Kim, Jae Pil",수금,15:00~16:15,없음,,,,,,,,
영어글로벌의사소통1,"Willers, Arthur Gregory",화목,13:30~14:45,없음,,,,,,,,
영어글로벌의사소통1,"Willers, Arthur Gregory",화목,15:00~16:15,없음,,,,,,,,
영어글로벌의사소통1,"Willers, Arthur Gregory",수금,09:00~10:15,없음,,,,,,,,
영어글로벌의사소통1,"Willers, Arthur Gregory",수금,13:30~14:45,없음,,,,,,,,
영어글로벌의사소통1,"Thigpen, Byron Douglas",화목,16:30~17:45,없음,,,,,,,,
영어글로벌의사소통1,"Thigpen, Byron Douglas",수금,13:30~14:45,없음,,,,,,,,
영어글로벌의사소통1,"Thigpen, Byron Douglas",수금,15:00~16:15,없음,,,,,,,,
영어글로벌의사소통1,"Bailey, Andrew",월수,10:30~11:45,없음,,,,,,,,
영어글로벌의사소통1,"Bailey, Andrew",월수,12:00~13:15,없음,,,,,,,,
영어글로벌의사소통1,조혜연,화목,10:30~11:45,없음,전인교육원,COR1003-26,3.0,1,없음,1.337,0.0,0.0
영어글로벌의사소통1,조혜연,화목,10:30~11:45,없음,전인교육원,COR1003-33,3.0,1,없음,1.337,0.0,0.0
영어글로벌의사소통1(고급),"Thigpen, Byron Douglas",화목,13:30~14:45,없음,,,,,,,,
영어글로벌의사소통1(고급),"Thigpen, Byron Douglas",화목,15:00~16:15,없음,,,,,,,,
컴퓨팅사고력,나미향,월수,10:30~11:45,없음,,,,,,,,
컴퓨팅사고력,강은숙,월수,12:00~13:15,없음,전인교육원,COR1009-01,3.0,1,꼰대도도악마,0.841,0.0,1.0
컴퓨팅사고력,강은숙,월수,12:00~13:15,없음,전인교육원,COR1009-02,3.0,1,꼰대도도악마,0.841,0.0,1.0
컴퓨팅사고력,강은숙,월수,16:30~17:45,없음,전인교육원,COR1009-03,3.0,1,꼰대도도악마,0.841,0.0,1.0
컴퓨팅사고력,장나은,수금,09:00~10:15,없음,전인교육원,COR1009-04,3.0,1,악마,0.434,0.0,1.0
컴퓨팅사고력,권미수,수금,15:00~16:15,없음,전인교육원,COR1009-05,3.0,1,꿀귀도도천사,1.285,1.0,1.0
컴퓨팅사고력,강은숙,화목,12:00~13:15,없음,,,,,,,,
컴퓨팅사고력,나미향,화목,15:00~16:15,없음,전인교육원,COR1009-10,3.0,1,꼰대도도악마,1.192,0.0,1.0
컴퓨팅사고력,권미수,화목,16:30~17:45,없음,,,,,,,,
컴퓨팅사고력,권미수,금,10:30~13:15,없음,전인교육원,COR1009-12,3.0,1,꿀귀도도천사,1.285,1.0,1.0
컴퓨팅사고력,서용덕,월수,10:30~11:45,없음,전인교육원,COR1009-14,3.0,1,없음,알수없음,0.0,1.0
컴퓨팅사고력(고급),장나은,수금,13:30~14:45,없음,전인교육원,COR1011-01,3.0,1,악마,알수없음,0.0,0.0
인문사회글쓰기,이상헌,화목,10:30~11:45,없음,,,,,,,,
인문사회글쓰기,박숙자,화목,12:00~13:15,없음,,,,,,,,
인문사회글쓰기,이상헌,화목,13:30~14:45,없음,,,,,,,,
인문사회글쓰기,조원규,화목,13:30~14:45,없음,전인교육원,COR1012-04,3.0,1,꿀귀도도천사,2.902,1.0,1.0
인문사회글쓰기,심진경,월수,10:30~11:45,없음,,,,,,,,
인문사회글쓰기,엄미옥,월수,12:00~13:15,없음,전인교육원,COR1012-06,3.0,1,악마,1.815,0.0,0.0
인문사회글쓰기,조원규,화목,16:30~17:45,없음,전인교육원,COR1012-07,3.0,1,꿀귀도도천사,2.902,1.0,1.0
인문사회글쓰기,조원규,수금,13:30~14:45,없음,,,,,,,,
인문사회글쓰기,박숙자,화목,15:00~16:15,없음,,,,,,,,
인문사회글쓰기,박숙자,화목,16:30~17:45,없음,,,,,,,,
인문사회글쓰기,심진경,월수,16:30~17:45,없음,,,,,,,,
인문사회글쓰기,이해진,수금,15:00~16:15,없음,전인교육원,COR1012-12,3.0,1,없음,2.107,0.0,0.0
인문사회글쓰기,심진경,월수,12:00~13:15,없음,,,,,,,,
인문사회글쓰기,박숙자,화목,10:30~11:45,없음,전인교육원,COR1012-14,3.0,1,악마,1.66,0.0,1.0
인문사회글쓰기,이상헌,화목,12:00~13:15,없음,,,,,,,,
인문사회글쓰기,이상헌,화목,15:00~16:15,없음,,,,,,,,
인문사회글쓰기,이해진,수금,09:00~10:15,없음,전인교육원,COR1012-17,3.0,1,없음,2.107,0.0,0.0
인문사회글쓰기,이해진,수금,13:30~14:45,없음,전인교육원,COR1012-18,3.0,1,없음,2.107,0.0,0.0
인문사회글쓰기,엄미옥,수금,15:00~16:15,없음,전인교육원,COR1012-19,3.0,1,악마,1.815,0.0,0.0
자연계글쓰기,장서란,월수,10:30~11:45,없음,전인교육원,COR1013-01,3.0,1,없음,알수없음,0.0,0.0
자연계글쓰기,김영경,월수,12:00~13:15,없음,,,,,,,,
자연계글쓰기,이채은,월수,12:00~13:15,없음,전인교육원,COR1013-03,3.0,1,없음,알수없음,0.0,0.0
자연계글쓰기,김영경,화목,09:00~10:15,없음,전인교육원,COR1013-04,3.0,1,없음,4.036,0.0,0.0
